# sigma        epsilon        charge       dG        uncertainty
4.845999999999999752e-01     9.534000000000000252e-01     -1.000000000000000000e+00     -7.067757814615401912e+01     5.388354442228641267e-02
4.799999999999999822e-01     2.231399999999999828e+00     -1.000000000000000000e+00     -7.676042509291912097e+01     6.068066007948754587e-02
3.457000000000000073e-01     9.033999999999999808e-01     -1.000000000000000000e+00     -1.892341427272307612e+02     5.245862846232967475e-02
4.934999999999999942e-01     3.648699999999999832e+00     -1.000000000000000000e+00     -8.336538588403061567e+01     7.074024846108138698e-02
3.879000000000000226e-01     7.891000000000000236e-01     -1.000000000000000000e+00     -1.422759783862698271e+02     4.884976980400331653e-02
4.471999999999999864e-01     3.394899999999999807e+00     -1.000000000000000000e+00     -1.006500517256135367e+02     5.610550868299170324e-02
4.914999999999999925e-01     3.592799999999999994e+00     -1.000000000000000000e+00     -8.369034076487093898e+01     6.999228733699214278e-02
2.842999999999999972e-01     4.865800000000000125e+00     -1.000000000000000000e+00     -2.504982869656516868e+02     5.530784835997821364e-02
3.331000000000000072e-01     5.006800000000000139e+00     -1.000000000000000000e+00     -1.857606599110845309e+02     5.276121924759041154e-02
3.799000000000000155e-01     4.911200000000000010e+00     -1.000000000000000000e+00     -1.465755425021328051e+02     5.273177228425436625e-02
3.982999999999999874e-01     1.803700000000000081e+00     -1.000000000000000000e+00     -1.239157468475915636e+02     4.900669668625171754e-02
4.072999999999999954e-01     5.517199999999999882e+00     -1.000000000000000000e+00     -1.352307158072088953e+02     5.551574121650362098e-02
3.242999999999999772e-01     4.953199999999999825e+00     -1.000000000000000000e+00     -1.961274549958198463e+02     5.315509779427653181e-02
4.371999999999999775e-01     4.088999999999999857e-01     -1.000000000000000000e+00     -1.116462183106021939e+02     4.859462587035204978e-02
3.920000000000000151e-01     2.464199999999999946e+00     -1.000000000000000000e+00     -1.287917939174175217e+02     5.031926069222830006e-02
3.438999999999999835e-01     4.046400000000000219e+00     -1.000000000000000000e+00     -1.727017357079984095e+02     5.184338528947268765e-02
3.711999999999999744e-01     2.182900000000000063e+00     -1.000000000000000000e+00     -1.459481077944847698e+02     5.009897952158539475e-02
4.731000000000000205e-01     4.423700000000000188e+00     -1.000000000000000000e+00     -9.908508083210948314e+01     6.616671833845730322e-02
3.264000000000000234e-01     4.826100000000000279e+00     -1.000000000000000000e+00     -1.934077178239457169e+02     5.191935757580823374e-02
3.018000000000000127e-01     5.740199999999999747e+00     -1.000000000000000000e+00     -2.274678311246701412e+02     5.544674031546056869e-02
4.229999999999999871e-01     5.511000000000000343e-01     -1.000000000000000000e+00     -1.174517721146550002e+02     4.816391122673615438e-02
3.195000000000000062e-01     5.936600000000000321e+00     -1.000000000000000000e+00     -2.037892711453821448e+02     5.276133476991240467e-02
3.084000000000000075e-01     4.565999999999999837e+00     -1.000000000000000000e+00     -2.173695239035886004e+02     5.502868038773853221e-02
4.814999999999999836e-01     1.433899999999999952e+00     -1.000000000000000000e+00     -7.220732209897559528e+01     5.778997376117619988e-02
4.502999999999999781e-01     4.075599999999999667e+00     -1.000000000000000000e+00     -1.048545319761503691e+02     5.767302005017906769e-02
