# epsilon   charge   density   std   dielectric   std
4.845100000000000406e+00   4.722000000000000086e-01   1.087848932406024232e+03   5.829932756335659327e+00   1.404342365763423857e+02   5.662046280788864960e-01
4.916900000000000048e+00   4.834999999999999853e-01   1.096663094487139460e+03   5.811167416170336608e+00   1.715092090790920736e+02   1.703856838277088004e-01
4.937899999999999956e+00   4.606000000000000094e-01   1.083970152011394930e+03   5.762663467845012377e+00   1.155524447555244478e+02   3.759469895594949040e-01
3.648600000000000065e+00   3.937999999999999834e-01   9.758532189517161441e+02   7.599785542501436453e+00   3.265612538746125182e+01   5.286205100796483036e-02
4.448000000000000398e+00   3.780000000000000027e-01   1.018920061123941537e+03   6.410030681638374084e+00   2.871662933706629417e+01   3.351619253039180707e-02
3.839100000000000179e+00   3.986999999999999988e-01   9.936184363592456066e+02   7.188813777958706908e+00   3.630230876912307991e+01   7.828618128045854163e-02
3.558300000000000018e+00   3.824000000000000177e-01   9.595611022992248991e+02   7.918833102903642285e+00   2.703892410758924214e+01   7.641373197222239844e-02
4.658000000000000362e+00   4.465999999999999970e-01   1.066467797724859338e+03   6.004764899577560655e+00   8.931299670032997540e+01   1.304212709580736818e-01
4.679599999999999760e+00   4.900999999999999801e-01   1.094145031566091802e+03   5.967569166071898579e+00   1.829549945005499865e+02   2.603814943837052254e-01
4.291299999999999670e+00   3.758000000000000229e-01   1.008891666899084839e+03   6.578721845335310014e+00   2.678178582141785924e+01   7.231920572155155214e-02
4.484799999999999898e+00   4.909000000000000030e-01   1.088911068852716653e+03   6.144531648267925306e+00   1.767396960303969422e+02   3.108575306355060297e-01
4.895199999999999996e+00   4.658999999999999808e-01   1.085719650391550203e+03   5.778375396795074614e+00   1.243506749325067346e+02   2.664895734382161652e-01
3.971600000000000019e+00   4.195999999999999730e-01   1.017083071844121719e+03   6.863470754779687155e+00   5.156732726727327787e+01   1.759558175805715774e-01
4.516399999999999970e+00   4.043999999999999817e-01   1.036153375939079069e+03   6.219523480229010026e+00   4.316961603839616402e+01   1.491667103880598977e-01
4.120000000000000107e+00   4.668999999999999817e-01   1.058979253786174468e+03   6.514140171341582075e+00   1.136679332066793364e+02   3.393097476167210025e-01
4.152599999999999625e+00   4.411999999999999811e-01   1.041905910271982748e+03   6.525930593101871402e+00   7.638397460253975169e+01   2.267461346394843147e-01
4.385900000000000354e+00   3.659999999999999920e-01   1.009724737477970962e+03   6.480941771762605441e+00   2.369729127087291332e+01   4.009103794693212597e-02
3.886899999999999800e+00   4.330999999999999850e-01   1.022255021594328468e+03   6.929166343119119276e+00   6.390903009699029980e+01   8.664841833086520118e-02
4.917500000000000426e+00   3.945000000000000173e-01   1.048844087835337859e+03   5.864194391880606538e+00   3.912767023297670477e+01   1.375306517646822935e-01
3.751500000000000057e+00   4.033999999999999808e-01   9.909123399657740947e+02   7.307380250995331394e+00   3.822450654934507241e+01   1.857735928471047349e-01
3.865099999999999980e+00   3.877999999999999781e-01   9.880125815175287016e+02   7.206494878895366440e+00   3.091867713228677061e+01   5.472312476437182771e-02
3.920300000000000118e+00   3.567000000000000171e-01   9.735915144380238644e+02   7.293789297315436571e+00   1.933151784821517793e+01   4.576796298466614954e-02
3.663899999999999935e+00   3.814000000000000168e-01   9.679873793762876630e+02   7.679816807081302876e+00   2.693722827717228085e+01   3.388306329309313802e-02
4.597500000000000142e+00   4.355999999999999872e-01   1.057585723735453939e+03   6.070203223654966784e+00   7.353245775422459474e+01   9.409810516039367190e-02
4.952899999999999636e+00   3.996000000000000107e-01   1.052647009554933902e+03   5.806943447157943972e+00   4.235852314768522575e+01   1.622999524389177328e-01
3.580499999999999794e+00   3.901999999999999913e-01   9.674552160371472382e+02   7.770074951313200806e+00   3.047789721027897158e+01   3.900814875958226458e-02
4.177699999999999747e+00   3.785000000000000031e-01   1.003387510286803717e+03   6.752380587027332126e+00   2.772553144685531379e+01   4.213244025384956654e-02
4.859399999999999942e+00   3.648000000000000131e-01   1.033756079200204113e+03   5.966814725854636237e+00   2.437086591340865738e+01   3.985362327140831717e-02
4.064499999999999780e+00   4.340999999999999859e-01   1.032524892503918409e+03   6.662439746408179708e+00   6.649387961203878206e+01   5.800009227767684988e-02
4.045200000000000351e+00   4.101000000000000201e-01   1.014742790392697543e+03   6.804070011121563510e+00   4.490868913108688787e+01   1.347723083327786731e-01
4.791900000000000048e+00   4.233999999999999986e-01   1.058272743970968577e+03   5.917468707480341372e+00   6.061156784321568125e+01   2.395863131768833920e-01
4.187299999999999578e+00   3.795999999999999930e-01   1.004602505643586142e+03   6.707275613497297506e+00   2.839712528747125475e+01   1.080540495942492046e-01
4.737400000000000055e+00   4.703999999999999848e-01   1.083557522659528104e+03   5.914534751477683372e+00   1.327627237276272183e+02   2.158093677244427300e-01
3.702900000000000080e+00   3.750000000000000000e-01   9.668018687842485406e+02   7.622690508485805871e+00   2.462954004599540170e+01   2.516555365273769398e-02
3.599499999999999922e+00   3.706999999999999740e-01   9.548555592816404669e+02   7.915295061167587853e+00   2.229198480151984896e+01   3.519639598530029806e-02
4.351099999999999746e+00   4.485999999999999988e-01   1.055800781064173407e+03   6.285277204473060486e+00   8.685998200179980699e+01   1.805291128875685103e-01
4.216700000000000337e+00   4.581000000000000072e-01   1.056684848868832432e+03   6.412459921422508202e+00   9.967855614438556699e+01   2.155470459542201955e-01
3.509900000000000020e+00   4.083999999999999853e-01   9.766649797900380463e+02   7.790041052376996511e+00   4.026815618438156008e+01   6.284954254010015340e-02
4.333499999999999908e+00   4.779999999999999805e-01   1.075094282157725502e+03   6.245032464459155719e+00   1.413806019398060130e+02   5.240192916395712830e-01
4.474300000000000388e+00   3.837999999999999745e-01   1.023191611306492973e+03   6.333894461469061987e+00   3.135893810618938105e+01   4.485589218449198556e-02
4.686499999999999666e+00   4.924000000000000044e-01   1.095870112010636831e+03   5.995421956892184490e+00   1.884961703829616795e+02   4.493819512985906539e-01
3.619499999999999940e+00   4.946999999999999731e-01   1.060206791058636327e+03   7.175754389339946471e+00   1.573630636936306360e+02   5.952479658332596735e-01
4.577099999999999724e+00   4.494000000000000217e-01   1.065245226446918650e+03   6.059255853965811234e+00   9.132916708329166511e+01   2.230239050284980595e-01
4.253700000000000259e+00   4.929999999999999938e-01   1.082956099858906327e+03   6.351365951740135962e+00   1.742324367563243470e+02   3.350918127506857802e-01
4.751699999999999591e+00   4.076000000000000179e-01   1.048341252390808449e+03   5.978803729273767686e+00   4.668831016898310793e+01   5.060146376112011068e-02
4.886999999999999567e+00   4.646000000000000130e-01   1.084679392156278027e+03   5.840037553985196084e+00   1.228123587641235730e+02   2.330232084876159016e-01
4.360199999999999854e+00   3.688000000000000167e-01   1.009479892086004725e+03   6.526222401860704458e+00   2.458631436856314778e+01   3.107182351749074312e-02
4.017599999999999838e+00   4.727999999999999980e-01   1.059150054695038307e+03   6.611327686481049071e+00   1.228204279572042878e+02   3.910810176908057212e-01
3.898200000000000109e+00   4.652000000000000024e-01   1.047965835010942101e+03   6.809932807787117959e+00   1.063539746025397505e+02   1.101782057904449053e-01
3.824500000000000011e+00   3.523000000000000020e-01   9.634750535713180852e+02   7.480464336432821604e+00   1.786090090990901302e+01   6.245693070710943429e-02
3.632800000000000029e+00   4.540000000000000147e-01   1.025106316555270951e+03   7.245484361349410207e+00   8.546839016098390118e+01   2.217901013893015805e-01
4.276799999999999713e+00   4.591000000000000081e-01   1.059872266231409412e+03   6.348456104873645423e+00   1.030090690930907016e+02   1.644203148083439314e-01
3.625900000000000123e+00   4.316999999999999726e-01   1.005251428884011148e+03   7.370154194937073910e+00   5.903340965903409909e+01   8.325502941385254374e-02
4.827899999999999636e+00   3.925000000000000155e-01   1.044203674782606413e+03   5.930912077737954924e+00   3.742068293170682125e+01   6.964264891422115855e-02
4.112899999999999778e+00   4.298000000000000154e-01   1.031991154656785966e+03   6.648151775892957360e+00   6.258661933806619970e+01   9.780093803054161483e-02
4.650100000000000122e+00   4.284999999999999920e-01   1.055545888596491523e+03   6.014276124131508361e+00   6.591603239676032899e+01   1.022365459080705474e-01
4.160300000000000331e+00   4.208999999999999964e-01   1.028381223526244412e+03   6.592669589417234022e+00   5.444972402759724872e+01   7.350580603778644750e-02
4.675399999999999778e+00   3.634000000000000008e-01   1.024285598048404836e+03   6.177464602827265949e+00   2.397903009699029653e+01   6.613049122676759040e-02
4.263099999999999667e+00   3.884000000000000230e-01   1.014011239380450661e+03   6.577703657192724762e+00   3.224654034596539987e+01   1.019593547745260842e-01
3.571200000000000152e+00   3.556000000000000272e-01   9.422095030146315366e+02   8.098255125914628039e+00   1.794721527847215015e+01   3.107149830221034303e-02
3.815100000000000158e+00   3.927999999999999825e-01   9.878082769364584692e+02   7.288400615545258532e+00   3.299355364463553286e+01   4.089820388057711226e-02
3.520500000000000185e+00   4.445000000000000062e-01   1.009871940818642997e+03   7.488302701253706672e+00   7.120479552044795923e+01   2.151351955601289445e-01
4.171899999999999942e+00   4.566000000000000059e-01   1.053714470609449336e+03   6.483325784537413483e+00   9.699323667633235857e+01   1.045522824271953866e-01
4.590399999999999814e+00   4.107999999999999985e-01   1.043080123080620524e+03   6.096673756221744789e+00   4.921218578142185862e+01   1.171537851751864728e-01
4.857000000000000206e+00   4.981999999999999762e-01   1.104027495208977825e+03   5.858602937786913323e+00   2.144998500149984864e+02   4.087643192297754635e-01
3.591600000000000126e+00   4.961999999999999744e-01   1.060380340064373058e+03   7.215868656983214002e+00   1.621094390560944021e+02   2.783328015086083962e-01
4.417300000000000004e+00   3.549999999999999822e-01   1.006729786406245353e+03   6.491152072792211847e+00   2.028265973402660194e+01   3.610228206100349335e-02
4.983500000000000263e+00   4.063999999999999835e-01   1.056997055938232052e+03   5.788732200539369543e+00   4.745410558944105617e+01   7.533853502868904928e-02
4.584100000000000286e+00   3.731999999999999762e-01   1.023852776737506701e+03   6.232975806345230296e+00   2.701536046395360557e+01   4.209008666188744641e-02
4.229700000000000237e+00   4.181000000000000272e-01   1.030163849378529903e+03   6.509218197293572317e+00   5.305965003499650834e+01   1.377002591722731040e-01
4.025299999999999656e+00   4.510000000000000120e-01   1.043019849608023378e+03   6.651096040388827291e+00   8.593718228177182539e+01   2.897675674497034448e-01
4.139000000000000234e+00   4.822000000000000175e-01   1.071028393530760241e+03   6.484452861095248544e+00   1.447334766523347582e+02   1.756477055591274261e-01
4.695700000000000429e+00   4.683999999999999830e-01   1.081023350659596417e+03   5.981929127551970815e+00   1.284733026697330445e+02   2.869371847409700194e-01
4.640799999999999592e+00   4.949000000000000066e-01   1.096164449470944874e+03   6.031746578469763698e+00   1.934396660333966338e+02   4.659267535580957076e-01
4.610400000000000276e+00   4.057999999999999940e-01   1.041275854461955532e+03   6.136552195960014444e+00   4.471875412458753374e+01   4.847919776537677750e-02
3.544700000000000184e+00   3.673000000000000154e-01   9.473109359109480465e+02   8.087899572903351597e+00   2.113885911408859286e+01   3.354960046864824408e-02
4.785400000000000098e+00   3.578000000000000069e-01   1.027594795604438787e+03   6.027919176936956447e+00   2.218426257374262534e+01   6.034744788877585697e-02
4.837399999999999700e+00   3.768000000000000238e-01   1.037614950258793442e+03   5.969053420984013592e+00   2.927237476252375004e+01   4.965746019150436147e-02
4.633200000000000429e+00   4.199999999999999845e-01   1.050060714896173977e+03   6.064104718411624795e+00   5.710080891910808276e+01   9.741512517971823160e-02
4.720299999999999940e+00   3.956000000000000072e-01   1.040951085743659178e+03   6.010549745589769621e+00   3.842218078192180286e+01   8.338332229399869622e-02
4.724400000000000155e+00   4.247000000000000219e-01   1.056363086163278240e+03   5.989633867369314579e+00   6.147869413058694477e+01   1.425401093246035367e-01
4.195299999999999585e+00   4.985999999999999877e-01   1.085068514162546535e+03   6.440131729246431291e+00   1.872972202779722579e+02   6.978177250650927643e-01
4.131800000000000139e+00   4.880999999999999783e-01   1.075118521414987299e+03   6.480342334731005849e+00   1.586841415858414166e+02   2.770862823574265499e-01
3.856599999999999806e+00   4.279000000000000026e-01   1.016467968505950012e+03   6.974947184612647177e+00   5.768485551444855730e+01   1.276592806365621502e-01
4.532499999999999751e+00   4.268000000000000127e-01   1.049732374361077063e+03   6.150284385870106618e+00   6.264886411358862972e+01   8.661962443409099155e-02
4.970699999999999896e+00   3.700999999999999845e-01   1.040758932031952554e+03   5.855749931360604954e+00   2.644246775322467613e+01   3.801690487843303184e-02
4.561099999999999710e+00   4.400000000000000022e-01   1.058844418942274160e+03   6.093375401118173329e+00   7.832713728627136618e+01   1.012837016097545700e-01
4.908299999999999663e+00   3.815999999999999948e-01   1.042746665495818434e+03   5.890457368437666652e+00   3.173718428157184590e+01   4.166386142895757427e-02
4.295300000000000118e+00   3.906999999999999917e-01   1.017131766107457224e+03   6.530085580975455883e+00   3.431571442855714338e+01   8.408427334700255273e-02
4.869699999999999918e+00   4.687999999999999945e-01   1.086647361104146739e+03   5.807279808119982789e+00   1.338076992300769916e+02   2.599306821682554336e-01
3.585100000000000176e+00   4.839999999999999858e-01   1.049256981554644653e+03   7.239934899158392945e+00   1.319640835916408150e+02   6.862629138552104324e-01
3.609399999999999942e+00   4.167000000000000148e-01   9.913502912779142662e+02   7.514238077003158267e+00   4.639551644835516697e+01   6.048660919108762857e-02
3.846499999999999808e+00   4.532999999999999807e-01   1.035980119317545814e+03   6.894425611614235727e+00   8.700954504549544311e+01   1.371304580297478815e-01
4.006499999999999950e+00   3.971999999999999975e-01   1.003788055819869328e+03   6.932963617849635440e+00   3.639490550944905323e+01   6.336791002897895764e-02
4.960799999999999876e+00   4.168000000000000038e-01   1.061231279830142967e+03   5.779727885800903131e+00   5.560049495050494528e+01   1.023794747193774585e-01
3.812600000000000211e+00   4.557999999999999829e-01   1.036259052149225681e+03   6.937701426692614248e+00   8.999072092790720490e+01   2.622521164713827457e-01
4.764400000000000190e+00   4.516000000000000014e-01   1.073194775694843656e+03   5.923234768286929963e+00   9.664873112688731283e+01   2.934109929756215096e-01
4.148100000000000342e+00   4.153000000000000025e-01   1.024006085902316499e+03   6.624335469966834644e+00   5.010715728427156535e+01   6.213293900157262906e-02
4.438600000000000101e+00   4.915999999999999814e-01   1.087969845896258448e+03   6.202555137943475572e+00   1.799481151884811538e+02   3.805420028179477554e-01
3.639800000000000146e+00   3.687000000000000277e-01   9.571427846448757464e+02   7.830824855046683020e+00   2.187761923807618913e+01   3.743823237994886588e-02
4.225100000000000300e+00   4.549000000000000266e-01   1.054761650811179834e+03   6.380877294093601826e+00   9.532533046695328949e+01   9.555490676386675652e-02
4.370000000000000107e+00   4.763999999999999901e-01   1.075317138688512159e+03   6.238149733841289901e+00   1.367865413458654302e+02   1.934143366061276959e-01
4.926400000000000112e+00   4.863000000000000100e-01   1.098580888005773659e+03   5.763836991048137293e+00   1.785969203079692136e+02   2.864582146102195859e-01
3.793499999999999872e+00   4.294000000000000039e-01   1.013870705930989857e+03   7.103144677006199004e+00   5.886053494650534645e+01   2.303121347990073065e-01
3.945100000000000051e+00   3.860000000000000098e-01   9.924587933851242951e+02   7.079511627834738974e+00   2.986133786621337904e+01   5.914693651404605290e-02
3.989500000000000046e+00   4.053999999999999826e-01   1.008167242668438462e+03   6.899975841066526172e+00   4.153128687131287222e+01   1.088947564845129529e-01
3.918400000000000105e+00   4.218000000000000083e-01   1.015543352768822274e+03   6.932963573101322829e+00   5.320481651834816716e+01   1.713451280772971264e-01
3.932500000000000107e+00   3.856999999999999873e-01   9.914055953076352807e+02   7.086319944776245272e+00   2.993257274272573198e+01   6.594418450037689561e-02
4.400000000000000355e+00   4.818999999999999950e-01   1.080077775432414001e+03   6.219154997563697940e+00   1.524576642335766508e+02   7.303452356477130314e-01
4.799599999999999866e+00   4.452999999999999736e-01   1.070749257597876067e+03   5.868256349457666055e+00   8.808955004499549091e+01   1.701415960427596352e-01
4.078100000000000058e+00   3.618999999999999995e-01   9.879934627163385130e+02   6.973241263995517691e+00   2.127018598140185901e+01   5.218556384817375077e-02
4.499799999999999578e+00   3.771999999999999797e-01   1.021313232368492777e+03   6.309322062026633482e+00   2.895577542245775504e+01   6.719917846912495940e-02
